Time,Short Temp Sensor,Long Temp Sensor,A6581T,S7081
2020-07-05 02:40:40.460064,23.890625,24.0390625,+10.0002994E+00,    10.0010531 
2020-07-05 02:41:36.165736,23.890625,24.0390625,+10.0003001E+00,    10.0010536 
2020-07-05 02:42:31.762164,23.890625,24.0390625,+10.0002997E+00,    10.0010540 
2020-07-05 02:43:27.474938,23.890625,24.0390625,+10.0002996E+00,    10.0010532 
2020-07-05 02:44:23.077849,23.8984375,24.046875,+10.0003005E+00,    10.0010537 
2020-07-05 02:45:18.783183,23.8984375,24.0390625,+10.0002996E+00,    10.0010541 
2020-07-05 02:46:14.487713,23.8984375,24.046875,+10.0002995E+00,    10.0010538 
2020-07-05 02:47:10.091786,23.90625,24.046875,+10.0002995E+00,    10.0010533 
2020-07-05 02:48:05.797322,23.8984375,24.046875,+10.0002991E+00,    10.0010536 
2020-07-05 02:49:01.399197,23.8984375,24.046875,+10.0002991E+00,    10.0010542 
2020-07-05 02:49:57.105781,23.90625,24.046875,+10.0003003E+00,    10.0010534 
2020-07-05 02:50:52.708250,23.8984375,24.0546875,+10.0003000E+00,    10.0010536 
2020-07-05 02:51:48.312584,23.8984375,24.0546875,+10.0002992E+00,    10.0010531 
2020-07-05 02:52:43.910027,23.8984375,24.0546875,+10.0002999E+00,    10.0010540 
2020-07-05 02:53:39.620233,23.8984375,24.0546875,+10.0002996E+00,    10.0010537 
2020-07-05 02:54:35.327198,23.8984375,24.046875,+10.0002996E+00,    10.0010545 
2020-07-05 02:55:30.988928,23.90625,24.0546875,+10.0003002E+00,    10.0010540 
2020-07-05 02:56:26.634478,23.8984375,24.0546875,+10.0002998E+00,    10.0010542 
2020-07-05 02:57:22.340494,23.8984375,24.0546875,+10.0002996E+00,    10.0010549 
2020-07-05 02:58:18.045901,23.890625,24.0546875,+10.0003016E+00,    10.0010543 
2020-07-05 02:59:13.753587,23.8984375,24.0546875,+10.0003013E+00,    10.0010545 
2020-07-05 03:00:09.456739,23.8984375,24.0546875,+10.0003014E+00,    10.0010547 
2020-07-05 03:01:05.163478,23.8984375,24.0546875,+10.0003005E+00,    10.0010563 
2020-07-05 03:02:00.796011,23.8984375,24.0546875,+10.0003002E+00,    10.0010558 
2020-07-05 03:02:56.502804,23.890625,24.0625,+10.0003011E+00,    10.0010551 
2020-07-05 03:03:52.208720,23.8984375,24.0546875,+10.0003017E+00,    10.0010559 
2020-07-05 03:04:47.912775,23.8984375,24.0625,+10.0003003E+00,    10.0010552 
2020-07-05 03:05:43.619491,23.8984375,24.0546875,+10.0003010E+00,    10.0010562 
2020-07-05 03:06:39.325605,23.8984375,24.0625,+10.0002999E+00,    10.0010553 
2020-07-05 03:07:35.029900,23.8984375,24.0625,+10.0003020E+00,    10.0010561 
2020-07-05 03:08:30.735097,23.8984375,24.0625,+10.0003013E+00,    10.0010562 
2020-07-05 03:09:26.364769,23.90625,24.0625,+10.0003010E+00,    10.0010555 
2020-07-05 03:10:22.044801,23.90625,24.0625,+10.0003008E+00,    10.0010562 
2020-07-05 03:11:17.955219,23.9140625,24.0625,+10.0003013E+00,    10.0010561 
2020-07-05 03:12:13.662481,23.9140625,24.0625,+10.0003016E+00,    10.0010561 
2020-07-05 03:13:09.365293,23.90625,24.0625,+10.0003014E+00,    10.0010564 
2020-07-05 03:14:04.983640,23.90625,24.0625,+10.0003016E+00,    10.0010567 
2020-07-05 03:15:00.573869,23.90625,24.0625,+10.0003017E+00,    10.0010558 
2020-07-05 03:15:56.280084,23.90625,24.0625,+10.0003018E+00,    10.0010557 
2020-07-05 03:16:51.987086,23.90625,24.0703125,+10.0003019E+00,    10.0010556 
2020-07-05 03:17:47.806942,23.90625,24.0703125,+10.0003022E+00,    10.0010567 
2020-07-05 03:18:43.501931,23.90625,24.0703125,+10.0003019E+00,    10.0010560 
2020-07-05 03:19:39.208132,23.90625,24.0625,+10.0003024E+00,    10.0010561 
2020-07-05 03:20:34.910427,23.9140625,24.0703125,+10.0003028E+00,    10.0010562 
2020-07-05 03:21:30.510135,23.9140625,24.0703125,+10.0003019E+00,    10.0010552 
2020-07-05 03:22:26.218675,23.9140625,24.0703125,+10.0003019E+00,    10.0010550 
2020-07-05 03:23:21.820946,23.9140625,24.078125,+10.0003018E+00,    10.0010556 
2020-07-05 03:24:17.423589,23.9140625,24.0703125,+10.0003019E+00,    10.0010554 
2020-07-05 03:25:13.130801,23.9140625,24.0703125,+10.0003017E+00,    10.0010556 
2020-07-05 03:26:08.709062,23.921875,24.0703125,+10.0003018E+00,    10.0010553 
2020-07-05 03:27:04.338408,23.921875,24.078125,+10.0003019E+00,    10.0010558 
2020-07-05 03:27:59.938710,23.921875,24.0703125,+10.0003023E+00,    10.0010558 
2020-07-05 03:28:55.645230,23.921875,24.078125,+10.0003024E+00,    10.0010559 
2020-07-05 03:29:51.351142,23.921875,24.078125,+10.0003015E+00,    10.0010550 
2020-07-05 03:30:47.054810,23.921875,24.078125,+10.0003025E+00,    10.0010559 
2020-07-05 03:31:42.760082,23.921875,24.078125,+10.0003028E+00,    10.0010560 
2020-07-05 03:32:38.366659,23.921875,24.078125,+10.0003027E+00,    10.0010567 
2020-07-05 03:33:34.070799,23.921875,24.078125,+10.0003032E+00,    10.0010561 
2020-07-05 03:34:29.672996,23.921875,24.078125,+10.0003018E+00,    10.0010553 
2020-07-05 03:35:25.276029,23.921875,24.078125,+10.0003019E+00,    10.0010562 
2020-07-05 03:36:20.880129,23.921875,24.0859375,+10.0003027E+00,    10.0010569 
2020-07-05 03:37:16.483381,23.921875,24.0859375,+10.0003027E+00,    10.0010561 
2020-07-05 03:38:12.189106,23.9296875,24.0859375,+10.0003026E+00,    10.0010567 
2020-07-05 03:39:07.894070,23.9296875,24.078125,+10.0003027E+00,    10.0010564 
2020-07-05 03:40:03.599802,23.9375,24.078125,+10.0003025E+00,    10.0010565 
2020-07-05 03:40:59.202075,23.9296875,24.078125,+10.0003023E+00,    10.0010569 
2020-07-05 03:41:54.805454,23.9375,24.0859375,+10.0003031E+00,    10.0010564 
2020-07-05 03:42:50.409164,23.9296875,24.078125,+10.0003023E+00,    10.0010561 
2020-07-05 03:43:46.114949,23.9296875,24.0859375,+10.0003027E+00,    10.0010567 
2020-07-05 03:44:41.820591,23.9296875,24.0859375,+10.0003018E+00,    10.0010571 
2020-07-05 03:45:37.422855,23.9296875,24.0859375,+10.0003020E+00,    10.0010576 
2020-07-05 03:46:33.041280,23.9375,24.0859375,+10.0003022E+00,    10.0010572 
2020-07-05 03:47:28.630034,23.9375,24.0859375,+10.0003025E+00,    10.0010573 
2020-07-05 03:48:24.233497,23.9296875,24.0859375,+10.0003019E+00,    10.0010583 
2020-07-05 03:49:19.938200,23.9375,24.09375,+10.0003017E+00,    10.0010573 
2020-07-05 03:50:15.542128,23.9375,24.09375,+10.0003020E+00,    10.0010571 
2020-07-05 03:51:11.144738,23.9375,24.09375,+10.0003025E+00,    10.0010567 
2020-07-05 03:52:06.747406,23.9375,24.09375,+10.0003026E+00,    10.0010564 
2020-07-05 03:53:02.454719,23.9375,24.09375,+10.0003017E+00,    10.0010570 
2020-07-05 03:53:58.159173,23.9375,24.09375,+10.0003018E+00,    10.0010565 
2020-07-05 03:54:53.762577,23.9375,24.0859375,+10.0003021E+00,    10.0010577 
2020-07-05 03:55:49.467287,23.9375,24.09375,+10.0003025E+00,    10.0010571 
2020-07-05 03:56:45.071389,23.9375,24.09375,+10.0003026E+00,    10.0010573 
2020-07-05 03:57:40.776998,23.9375,24.09375,+10.0003030E+00,    10.0010558 
2020-07-05 03:58:36.380087,23.9453125,24.09375,+10.0003018E+00,    10.0010562 
2020-07-05 03:59:32.213560,23.9453125,24.09375,+10.0003024E+00,    10.0010558 
2020-07-05 04:00:27.894799,23.9453125,24.09375,+10.0003029E+00,    10.0010567 
2020-07-05 04:01:23.496285,23.9375,24.09375,+10.0003017E+00,    10.0010570 
2020-07-05 04:02:19.099980,23.9375,24.1015625,+10.0003026E+00,    10.0010578 
2020-07-05 04:03:14.804544,23.9453125,24.09375,+10.0003027E+00,    10.0010567 
2020-07-05 04:04:10.411413,23.9453125,24.0859375,+10.0003027E+00,    10.0010572 
2020-07-05 04:05:06.114727,23.9453125,24.09375,+10.0003017E+00,    10.0010564 
2020-07-05 04:06:02.023887,23.953125,24.09375,+10.0003010E+00,    10.0010562 
2020-07-05 04:06:57.730829,23.953125,24.09375,+10.0003023E+00,    10.0010564 
2020-07-05 04:07:53.435309,23.953125,24.1015625,+10.0003026E+00,    10.0010558 
2020-07-05 04:08:49.037899,23.9453125,24.1015625,+10.0003022E+00,    10.0010564 
2020-07-05 04:09:44.654128,23.9375,24.1015625,+10.0003020E+00,    10.0010564 
2020-07-05 04:10:40.347713,23.9375,24.1015625,+10.0003026E+00,    10.0010562 
2020-07-05 04:11:36.052298,23.9453125,24.1015625,+10.0003020E+00,    10.0010554 
2020-07-05 04:12:31.678612,23.9375,24.109375,+10.0003024E+00,    10.0010562 
2020-07-05 04:13:27.261316,23.9296875,24.1015625,+10.0003027E+00,    10.0010557 
2020-07-05 04:14:22.861943,23.9375,24.1015625,+10.0003027E+00,    10.0010561 
2020-07-05 04:15:18.566327,23.9375,24.1015625,+10.0003023E+00,    10.0010561 
2020-07-05 04:16:14.272586,23.9453125,24.109375,+10.0003020E+00,    10.0010557 
2020-07-05 04:17:09.874807,23.9453125,24.1015625,+10.0003032E+00,    10.0010552 
2020-07-05 04:18:05.494637,23.9453125,24.1015625,+10.0003028E+00,    10.0010560 
2020-07-05 04:19:01.287620,23.9453125,24.1015625,+10.0003027E+00,    10.0010558 
2020-07-05 04:19:56.992289,23.953125,24.1015625,+10.0003028E+00,    10.0010558 
2020-07-05 04:20:52.594563,23.9453125,24.1015625,+10.0003027E+00,    10.0010553 
2020-07-05 04:21:48.199042,23.9453125,24.1015625,+10.0003031E+00,    10.0010554 
2020-07-05 04:22:43.801821,23.953125,24.109375,+10.0003035E+00,    10.0010554 
2020-07-05 04:23:39.506891,23.953125,24.109375,+10.0003032E+00,    10.0010560 
2020-07-05 04:24:35.112006,23.953125,24.1171875,+10.0003030E+00,    10.0010554 
2020-07-05 04:25:30.714167,23.953125,24.1015625,+10.0003024E+00,    10.0010554 
2020-07-05 04:26:26.418748,23.953125,24.109375,+10.0003023E+00,    10.0010554 
2020-07-05 04:27:22.021855,23.9609375,24.1171875,+10.0003030E+00,    10.0010554 
2020-07-05 04:28:17.627056,23.953125,24.109375,+10.0003019E+00,    10.0010561 
2020-07-05 04:29:13.330367,23.953125,24.1171875,+10.0003026E+00,    10.0010556 
2020-07-05 04:30:09.036081,23.9609375,24.109375,+10.0003026E+00,    10.0010556 
2020-07-05 04:31:04.640869,23.9609375,24.1171875,+10.0003021E+00,    10.0010556 
2020-07-05 04:32:00.242491,23.9609375,24.1171875,+10.0003030E+00,    10.0010561 
2020-07-05 04:32:55.949008,23.9609375,24.1171875,+10.0003030E+00,    10.0010562 
2020-07-05 04:33:51.554839,23.9609375,24.109375,+10.0003028E+00,    10.0010556 
2020-07-05 04:34:47.117413,23.9609375,24.1171875,+10.0003029E+00,    10.0010559 
2020-07-05 04:35:42.656203,23.953125,24.1171875,+10.0003027E+00,    10.0010562 
2020-07-05 04:36:38.258954,23.953125,24.1171875,+10.0003034E+00,    10.0010558 
2020-07-05 04:37:33.862215,23.9609375,24.1171875,+10.0003033E+00,    10.0010566 
2020-07-05 04:38:29.567088,23.953125,24.1171875,+10.0003030E+00,    10.0010559 
2020-07-05 04:39:25.068379,23.9609375,24.1171875,+10.0003026E+00,    10.0010563 
2020-07-05 04:40:20.670893,23.9609375,24.125,+10.0003023E+00,    10.0010563 
2020-07-05 04:41:16.273820,23.9609375,24.1171875,+10.0003032E+00,    10.0010565 
2020-07-05 04:42:11.984653,23.9609375,24.1171875,+10.0003032E+00,    10.0010556 
2020-07-05 04:43:07.684886,23.96875,24.1171875,+10.0003020E+00,    10.0010569 
2020-07-05 04:44:03.288958,23.9609375,24.125,+10.0003031E+00,    10.0010561 
2020-07-05 04:44:58.891267,23.9609375,24.1171875,+10.0003029E+00,    10.0010555 
2020-07-05 04:45:54.493798,23.9609375,24.1171875,+10.0003020E+00,    10.0010554 
2020-07-05 04:46:50.098523,23.9609375,24.125,+10.0003023E+00,    10.0010553 
2020-07-05 04:47:45.701152,23.9609375,24.125,+10.0003031E+00,    10.0010551 
2020-07-05 04:48:41.304208,23.9609375,24.125,+10.0003025E+00,    10.0010557 
2020-07-05 04:49:37.009916,23.9609375,24.125,+10.0003030E+00,    10.0010558 
2020-07-05 04:50:32.604799,23.96875,24.125,+10.0003031E+00,    10.0010558 
2020-07-05 04:51:28.319513,23.96875,24.125,+10.0003037E+00,    10.0010551 
2020-07-05 04:52:23.922438,23.96875,24.125,+10.0003037E+00,    10.0010550 
2020-07-05 04:53:19.525015,23.96875,24.125,+10.0003030E+00,    10.0010558 
2020-07-05 04:54:15.131579,23.9765625,24.125,+10.0003031E+00,    10.0010551 
2020-07-05 04:55:10.836714,23.9765625,24.125,+10.0003039E+00,    10.0010558 
2020-07-05 04:56:06.439034,23.9765625,24.1328125,+10.0003028E+00,    10.0010542 
2020-07-05 04:57:02.046656,23.9765625,24.125,+10.0003034E+00,    10.0010558 
2020-07-05 04:57:57.647808,23.9765625,24.1328125,+10.0003034E+00,    10.0010548 
2020-07-05 04:58:53.349606,23.9765625,24.1328125,+10.0003034E+00,    10.0010559 
2020-07-05 04:59:49.054745,23.96875,24.125,+10.0003036E+00,    10.0010545 
2020-07-05 05:00:44.762094,23.9765625,24.1328125,+10.0003033E+00,    10.0010558 
2020-07-05 05:01:40.466585,23.9765625,24.1328125,+10.0003032E+00,    10.0010548 
2020-07-05 05:02:36.172060,23.96875,24.1328125,+10.0003034E+00,    10.0010551 
2020-07-05 05:03:31.778671,23.96875,24.1328125,+10.0003036E+00,    10.0010553 
2020-07-05 05:04:27.480793,23.9765625,24.1328125,+10.0003034E+00,    10.0010550 
2020-07-05 05:05:23.187101,23.9765625,24.1328125,+10.0003042E+00,    10.0010544 
2020-07-05 05:06:19.097067,23.9765625,24.1328125,+10.0003032E+00,    10.0010548 
2020-07-05 05:07:14.803471,23.9765625,24.1328125,+10.0003035E+00,    10.0010548 
2020-07-05 05:08:10.426873,23.984375,24.140625,+10.0003034E+00,    10.0010552 
2020-07-05 05:09:06.112423,23.984375,24.1328125,+10.0003031E+00,    10.0010550 
2020-07-05 05:10:01.817514,23.984375,24.1328125,+10.0003040E+00,    10.0010550 
2020-07-05 05:10:57.523612,23.984375,24.140625,+10.0003035E+00,    10.0010545 
2020-07-05 05:11:53.228276,23.984375,24.140625,+10.0003039E+00,    10.0010547 
2020-07-05 05:12:48.936182,23.9921875,24.140625,+10.0003039E+00,    10.0010552 
2020-07-05 05:13:44.537171,23.9921875,24.140625,+10.0003042E+00,    10.0010551 
2020-07-05 05:14:40.244778,23.984375,24.140625,+10.0003038E+00,    10.0010553 
2020-07-05 05:15:35.948816,23.984375,24.140625,+10.0003046E+00,    10.0010543 
2020-07-05 05:16:31.562664,23.984375,24.140625,+10.0003047E+00,    10.0010554 
2020-07-05 05:17:27.256520,23.984375,24.140625,+10.0003037E+00,    10.0010547 
2020-07-05 05:18:22.963958,23.984375,24.140625,+10.0003037E+00,    10.0010555 
2020-07-05 05:19:18.564998,23.984375,24.140625,+10.0003038E+00,    10.0010543 
2020-07-05 05:20:14.271108,23.9765625,24.140625,+10.0003039E+00,    10.0010549 
2020-07-05 05:21:09.978038,23.9765625,24.140625,+10.0003050E+00,    10.0010550 
2020-07-05 05:22:05.682067,23.984375,24.140625,+10.0003042E+00,    10.0010547 
2020-07-05 05:23:01.386305,23.984375,24.140625,+10.0003045E+00,    10.0010529 
2020-07-05 05:23:56.991364,23.984375,24.1484375,+10.0003045E+00,    10.0010545 
2020-07-05 05:24:52.697028,23.984375,24.1484375,+10.0003049E+00,    10.0010540 
2020-07-05 05:25:48.401026,23.9921875,24.1484375,+10.0003046E+00,    10.0010540 
2020-07-05 05:26:44.005795,23.9921875,24.140625,+10.0003054E+00,    10.0010532 
2020-07-05 05:27:39.607858,23.9921875,24.1484375,+10.0003043E+00,    10.0010531 
2020-07-05 05:28:35.313707,23.9921875,24.1484375,+10.0003046E+00,    10.0010532 
2020-07-05 05:29:30.913369,23.9921875,24.1484375,+10.0003041E+00,    10.0010534 
2020-07-05 05:30:26.520195,23.984375,24.1484375,+10.0003044E+00,    10.0010529 
2020-07-05 05:31:22.225039,23.9921875,24.1484375,+10.0003033E+00,    10.0010529 
2020-07-05 05:32:17.828374,23.9921875,24.1484375,+10.0003039E+00,    10.0010528 
2020-07-05 05:33:13.533882,23.9921875,24.1484375,+10.0003052E+00,    10.0010526 
2020-07-05 05:34:09.141108,24.0,24.1484375,+10.0003034E+00,    10.0010524 
2020-07-05 05:35:04.845422,24.0,24.1484375,+10.0003037E+00,    10.0010532 
2020-07-05 05:36:00.548228,24.0,24.1484375,+10.0003040E+00,    10.0010529 
2020-07-05 05:36:56.254003,24.0,24.1484375,+10.0003045E+00,    10.0010522 
2020-07-05 05:37:51.830327,24.0,24.1484375,+10.0003039E+00,    10.0010525 
2020-07-05 05:38:47.566742,24.0,24.1484375,+10.0003042E+00,    10.0010517 
2020-07-05 05:39:43.473541,24.0,24.1484375,+10.0003047E+00,    10.0010521 
2020-07-05 05:40:39.184871,24.0,24.15625,+10.0003044E+00,    10.0010521 
2020-07-05 05:41:35.088637,24.0078125,24.15625,+10.0003041E+00,    10.0010524 
2020-07-05 05:42:30.794386,24.0078125,24.1484375,+10.0003041E+00,    10.0010519 
2020-07-05 05:43:26.500336,24.0078125,24.15625,+10.0003041E+00,    10.0010517 
2020-07-05 05:44:22.308802,24.0078125,24.1484375,+10.0003047E+00,    10.0010517 
2020-07-05 05:45:18.014384,24.015625,24.15625,+10.0003043E+00,    10.0010517 
2020-07-05 05:46:13.616883,24.0078125,24.15625,+10.0003050E+00,    10.0010512 
2020-07-05 05:47:09.322850,24.015625,24.1640625,+10.0003045E+00,    10.0010512 
2020-07-05 05:48:05.028312,24.0078125,24.15625,+10.0003046E+00,    10.0010509 
2020-07-05 05:49:00.733115,24.015625,24.15625,+10.0003050E+00,    10.0010508 
2020-07-05 05:49:56.336546,24.015625,24.1640625,+10.0003042E+00,    10.0010508 
2020-07-05 05:50:51.940931,24.0234375,24.15625,+10.0003054E+00,    10.0010506 
2020-07-05 05:51:47.644854,24.015625,24.1640625,+10.0003050E+00,    10.0010498 
2020-07-05 05:52:43.350637,24.015625,24.1640625,+10.0003049E+00,    10.0010502 
2020-07-05 05:53:39.056953,24.0234375,24.15625,+10.0003044E+00,    10.0010510 
2020-07-05 05:54:34.764539,24.0234375,24.1640625,+10.0003045E+00,    10.0010506 
2020-07-05 05:55:30.471254,24.0234375,24.1640625,+10.0003045E+00,    10.0010496 
2020-07-05 05:56:26.080948,24.0234375,24.1640625,+10.0003050E+00,    10.0010495 
2020-07-05 05:57:21.789058,24.0234375,24.1640625,+10.0003045E+00,    10.0010498 
2020-07-05 05:58:17.380782,24.0234375,24.171875,+10.0003045E+00,    10.0010495 
2020-07-05 05:59:13.288438,24.0234375,24.1640625,+10.0003046E+00,    10.0010504 
2020-07-05 06:00:08.998036,24.0234375,24.1640625,+10.0003046E+00,    10.0010498 
2020-07-05 06:01:04.702521,24.0234375,24.1640625,+10.0003048E+00,    10.0010495 
2020-07-05 06:02:00.405799,24.015625,24.1640625,+10.0003047E+00,    10.0010488 
2020-07-05 06:02:56.009456,24.0234375,24.171875,+10.0003049E+00,    10.0010488 
2020-07-05 06:03:51.715579,24.0234375,24.1640625,+10.0003047E+00,    10.0010484 
2020-07-05 06:04:47.317819,24.015625,24.1640625,+10.0003047E+00,    10.0010479 
2020-07-05 06:05:42.921127,24.0234375,24.1640625,+10.0003055E+00,    10.0010487 
