Time,Short Temp Sensor,Long Temp Sensor,A6581T Int Temp,A6581T,S7081
2020-07-05 11:40:48.772526,24.1171875,24.2421875,+3.971E+01,+10.0003100E+00,    10.0008998 
2020-07-05 11:41:45.398771,24.109375,24.25,+3.967E+01,+10.0003118E+00,    10.0008987 
2020-07-05 11:42:41.924186,24.1171875,24.25,+3.967E+01,+10.0003112E+00,    10.0008980 
2020-07-05 11:43:38.550903,24.1015625,24.2421875,+3.967E+01,+10.0003117E+00,    10.0008984 
2020-07-05 11:44:35.177964,24.1015625,24.25,+3.973E+01,+10.0003113E+00,    10.0008978 
2020-07-05 11:45:31.609031,24.1015625,24.25,+3.965E+01,+10.0003105E+00,    10.0008983 
2020-07-05 11:46:28.124714,24.1171875,24.25,+3.972E+01,+10.0003110E+00,    10.0008978 
2020-07-05 11:48:19.131373,24.1015625,24.25,+3.971E+01,+10.0003110E+00,    10.0008980 
2020-07-05 11:49:15.651580,24.09375,24.25,+3.966E+01,+10.0003115E+00,    10.0008978 
2020-07-05 11:50:12.086327,24.1015625,24.25,+3.974E+01,+10.0003112E+00,    10.0008978 
2020-07-05 11:51:08.598962,24.1015625,24.2578125,+3.973E+01,+10.0003106E+00,    10.0008974 
2020-07-05 11:52:05.225763,24.1171875,24.2578125,+3.973E+01,+10.0003110E+00,    10.0008969 
2020-07-05 11:53:01.649197,24.125,24.2578125,+3.969E+01,+10.0003112E+00,    10.0008959 
2020-07-05 11:53:58.174018,24.125,24.2578125,+3.969E+01,+10.0003110E+00,    10.0008967 
2020-07-05 11:54:54.800343,24.1328125,24.2578125,+3.969E+01,+10.0003110E+00,    10.0008971 
2020-07-05 11:55:51.222452,24.1328125,24.2578125,+3.974E+01,+10.0003110E+00,    10.0008960 
2020-07-05 11:56:47.747601,24.140625,24.265625,+3.970E+01,+10.0003119E+00,    10.0008953 
2020-07-05 11:57:44.374577,24.1484375,24.265625,+3.980E+01,+10.0003114E+00,    10.0008943 
2020-07-05 11:58:40.900573,24.1484375,24.2734375,+3.972E+01,+10.0003120E+00,    10.0008943 
2020-07-05 11:59:37.527244,24.1484375,24.2734375,+3.968E+01,+10.0003117E+00,    10.0008929 
2020-07-05 12:00:34.080687,24.1484375,24.265625,+3.971E+01,+10.0003115E+00,    10.0008933 
2020-07-05 12:01:30.575885,24.1484375,24.2734375,+3.970E+01,+10.0003123E+00,    10.0008925 
2020-07-05 12:02:27.100793,24.1484375,24.2734375,+3.971E+01,+10.0003117E+00,    10.0008914 
2020-07-05 12:04:18.204716,24.15625,24.2734375,+3.968E+01,+10.0003123E+00,    10.0008916 
2020-07-05 12:05:14.831648,24.1484375,24.2734375,+3.974E+01,+10.0003109E+00,    10.0008918 
2020-07-05 12:06:11.254156,24.15625,24.2734375,+3.973E+01,+10.0003118E+00,    10.0008917 
2020-07-05 12:07:07.780112,24.15625,24.2734375,+3.969E+01,+10.0003116E+00,    10.0008919 
2020-07-05 12:08:04.406642,24.1640625,24.28125,+3.969E+01,+10.0003128E+00,    10.0008909 
2020-07-05 12:09:00.931581,24.15625,24.28125,+3.970E+01,+10.0003119E+00,    10.0008906 
2020-07-05 12:09:57.456718,24.1640625,24.28125,+3.971E+01,+10.0003119E+00,    10.0008903 
2020-07-05 12:10:53.979588,24.1484375,24.28125,+3.971E+01,+10.0003125E+00,    10.0008912 
2020-07-05 12:11:50.402640,24.1484375,24.28125,+3.979E+01,+10.0003119E+00,    10.0008916 
2020-07-05 12:12:46.824716,24.140625,24.2734375,+3.971E+01,+10.0003119E+00,    10.0008915 
2020-07-05 12:13:43.247236,24.1328125,24.28125,+3.971E+01,+10.0003122E+00,    10.0008918 
2020-07-05 12:14:39.772493,24.125,24.2890625,+3.984E+01,+10.0003119E+00,    10.0008915 
2020-07-05 12:15:36.297127,24.1328125,24.28125,+3.970E+01,+10.0003122E+00,    10.0008925 
2020-07-05 12:16:32.820543,24.1328125,24.28125,+3.983E+01,+10.0003124E+00,    10.0008923 
2020-07-05 12:17:29.448594,24.1328125,24.28125,+3.974E+01,+10.0003119E+00,    10.0008923 
2020-07-05 12:18:26.074726,24.125,24.28125,+3.971E+01,+10.0003125E+00,    10.0008932 
2020-07-05 12:20:17.180607,24.125,24.28125,+3.975E+01,+10.0003119E+00,    10.0008935 
2020-07-05 12:21:13.703578,24.1328125,24.28125,+3.971E+01,+10.0003127E+00,    10.0008944 
2020-07-05 12:22:10.233864,24.1328125,24.28125,+3.970E+01,+10.0003123E+00,    10.0008943 
