# INL run# soak = 10# samples_per_meter_per_step = 5# NPLC = 100dac_counts,3458A_volt
55296,-9.306691063
56320,-9.286370803
56320,-9.286370729
56320,-9.286370891
56320,-9.286370876
56320,-9.286370876
57344,-9.266054343
57344,-9.266053341
57344,-9.26605368
57344,-9.266053842
57344,-9.266053547
58368,-9.245734156
58368,-9.245734023
58368,-9.245734259
58368,-9.245734554
58368,-9.245733449
59392,-9.225413734
59392,-9.225413881
59392,-9.225414058
59392,-9.225413837
59392,-9.225413837
60416,-9.205095182
60416,-9.205095167
60416,-9.205095182
60416,-9.20509502
60416,-9.205094652
61440,-9.18477744
61440,-9.184777912
61440,-9.184777838
61440,-9.184777779
61440,-9.184777617
62464,-9.164458373
62464,-9.16445824
62464,-9.16445799
62464,-9.164458005
62464,-9.164457578
63488,-9.144138834
63488,-9.144139114
63488,-9.144139217
63488,-9.144139232
63488,-9.144139453
