"Time","Arroyo TECSource Chamber Temp","3458A Vz"
2023-03-14 02:57:37,,10.0916826
2023-03-14 02:57:38,34.6770000,
2023-03-14 02:57:39,,10.0916831
2023-03-14 02:57:40,34.6770000,
2023-03-14 02:57:41,,10.0916828
2023-03-14 02:57:42,34.6770000,
2023-03-14 02:57:43,,10.0916829
2023-03-14 02:57:44,34.6770000,
2023-03-14 02:57:45,,10.0916829
2023-03-14 02:57:46,34.6770000,
2023-03-14 02:57:47,,10.0916826
2023-03-14 02:57:48,34.6780000,
2023-03-14 02:57:49,,10.0916828
2023-03-14 02:57:50,34.6780000,
2023-03-14 02:57:51,,10.0916831
2023-03-14 02:57:52,34.6790000,
2023-03-14 02:57:53,,10.0916831
2023-03-14 02:57:54,34.6790000,
2023-03-14 02:57:55,,10.0916832
2023-03-14 02:57:56,34.6800000,
2023-03-14 02:57:57,,10.0916827
2023-03-14 02:57:58,34.6800000,
2023-03-14 02:57:59,,10.0916830
2023-03-14 02:58:00,34.6790000,
2023-03-14 02:58:01,,10.0916826
2023-03-14 02:58:02,34.6770000,
2023-03-14 02:58:03,,10.0916830
2023-03-14 02:58:04,34.6740000,
2023-03-14 02:58:05,,10.0916829
2023-03-14 02:58:06,34.6700000,
2023-03-14 02:58:07,,10.0916826
2023-03-14 02:58:08,34.6650000,
2023-03-14 02:58:09,,10.0916830
2023-03-14 02:58:10,34.6600000,
2023-03-14 02:58:11,,10.0916829
2023-03-14 02:58:12,34.6540000,
2023-03-14 02:58:13,,10.0916828
2023-03-14 02:58:14,34.6490000,
2023-03-14 02:58:15,,10.0916830
2023-03-14 02:58:16,34.6430000,
2023-03-14 02:58:17,,10.0916831
2023-03-14 02:58:18,34.6370000,
2023-03-14 02:58:19,,10.0916830
2023-03-14 02:58:20,34.6320000,
2023-03-14 02:58:21,,10.0916827
2023-03-14 02:58:22,34.6260000,
2023-03-14 02:58:23,,10.0916827
2023-03-14 02:58:24,34.6210000,
2023-03-14 02:58:25,,10.0916826
2023-03-14 02:58:26,34.6160000,
2023-03-14 02:58:27,,10.0916829
2023-03-14 02:58:28,34.6110000,
2023-03-14 02:58:29,,10.0916826
2023-03-14 02:58:30,34.6060000,
2023-03-14 02:58:31,,10.0916826
2023-03-14 02:58:32,34.6020000,
2023-03-14 02:58:33,,10.0916827
2023-03-14 02:58:34,34.5990000,
2023-03-14 02:58:35,,10.0916832
2023-03-14 02:58:36,34.5950000,
2023-03-14 02:58:37,,10.0916831
2023-03-14 02:58:38,34.5920000,
2023-03-14 02:58:39,,10.0916831
2023-03-14 02:58:40,34.5890000,
2023-03-14 02:58:41,,10.0916832
2023-03-14 02:58:42,34.5870000,
2023-03-14 02:58:43,,10.0916833
2023-03-14 02:58:44,34.5850000,
2023-03-14 02:58:45,,10.0916830
2023-03-14 02:58:46,34.5830000,
2023-03-14 02:58:47,,10.0916831
2023-03-14 02:58:48,34.5810000,
2023-03-14 02:58:49,,10.0916834
2023-03-14 02:58:50,34.5790000,
2023-03-14 02:58:51,,10.0916831
2023-03-14 02:58:52,34.5780000,
2023-03-14 02:58:53,,10.0916833
2023-03-14 02:58:54,34.5770000,
2023-03-14 02:58:55,,10.0916830
2023-03-14 02:58:56,34.5770000,
2023-03-14 02:58:57,,10.0916828
2023-03-14 02:58:58,34.5760000,
2023-03-14 02:58:59,,10.0916828
2023-03-14 02:59:00,34.5760000,
2023-03-14 02:59:01,,10.0916831
2023-03-14 02:59:02,34.5760000,
2023-03-14 02:59:03,,10.0916832
2023-03-14 02:59:04,34.5750000,
2023-03-14 02:59:05,,10.0916829
2023-03-14 02:59:06,34.5760000,
2023-03-14 02:59:07,,10.0916827
2023-03-14 02:59:08,34.5760000,
2023-03-14 02:59:09,,10.0916830
2023-03-14 02:59:10,34.5760000,
2023-03-14 02:59:11,,10.0916829
2023-03-14 02:59:12,34.5760000,
2023-03-14 02:59:14,34.5770000,
2023-03-14 02:59:15,,10.0916827
2023-03-14 02:59:16,34.5770000,
2023-03-14 02:59:18,34.5780000,
2023-03-14 02:59:19,,10.0916827
2023-03-14 02:59:20,34.5790000,
2023-03-14 02:59:22,34.5790000,
2023-03-14 02:59:23,,10.0916827
2023-03-14 02:59:24,34.5790000,
2023-03-14 02:59:26,34.5770000,
2023-03-14 02:59:27,,10.0916825
2023-03-14 02:59:28,34.5750000,
2023-03-14 02:59:30,34.5710000,
2023-03-14 02:59:31,,10.0916823
2023-03-14 02:59:32,34.5670000,
2023-03-14 02:59:34,34.5620000,
2023-03-14 02:59:35,,10.0916822
