date;source;duta;dutb;dutc;dutd;sdev;sdev2;sdev3;sdev4;temp;temp2
date;source;duta;dutb;dutc;dutd;sdev;sdev2;sdev3;sdev4;temp;temp2
09212021-00:06:12;-4.600000000;-4.600000016;-4.600000572;0.000000000;0.000000000;3.04448e-08;6.79428e-08;0;0;37.0;37.3
09212021-00:06:33;-4.500000000;-4.499999474;-4.500000097;0.000000000;0.000000000;8.71894e-08;8.48384e-08;0;0;37.0;37.3
09212021-00:06:55;-4.400000000;-4.399999521;-4.400000165;0.000000000;0.000000000;1.00831e-07;1.81698e-07;0;0;37.0;37.3
09212021-00:07:17;-4.300000000;-4.299999819;-4.300000395;0.000000000;0.000000000;1.63416e-07;6.16027e-08;0;0;37.0;37.3
09212021-00:07:38;-4.200000000;-4.199999763;-4.200000375;0.000000000;0.000000000;7.98721e-08;9.33036e-08;0;0;37.0;37.3
09212021-00:08:00;-4.100000000;-4.099999516;-4.100000209;0.000000000;0.000000000;4.54337e-08;8.35743e-08;0;0;37.0;37.3
09212021-00:08:22;-4.000000000;-3.999999622;-4.000000394;0.000000000;0.000000000;1.2355e-07;2.50377e-08;0;0;37.0;37.3
09212021-00:08:43;-3.900000000;-3.899999832;-3.900000580;0.000000000;0.000000000;1.66909e-07;2.56125e-07;0;0;37.0;37.3
09212021-00:09:05;-3.800000000;-3.799999879;-3.800000531;0.000000000;0.000000000;8.34386e-08;1.34725e-07;0;0;37.0;37.3
09212021-00:09:27;-3.700000000;-3.699999691;-3.700000203;0.000000000;0.000000000;1.45165e-07;9.57914e-08;0;0;37.0;37.3
09212021-00:09:48;-3.600000000;-3.599999915;-3.600000535;0.000000000;0.000000000;3.89044e-08;1.37988e-07;0;0;37.0;37.3
09212021-00:10:10;-3.500000000;-3.500000139;-3.500000867;0.000000000;0.000000000;3.89044e-08;5.92021e-08;0;0;37.0;37.3
09212021-00:10:31;-3.400000000;-3.400000216;-3.400000701;0.000000000;0.000000000;1.61829e-07;9.14926e-08;0;0;37.0;37.3
09212021-00:10:53;-3.300000000;-3.299999659;-3.300000491;0.000000000;0.000000000;7.35859e-08;1.61999e-07;0;0;37.0;37.3
09212021-00:11:14;-3.200000000;-3.199999854;-3.200000530;0.000000000;0.000000000;6.35732e-08;4.51467e-08;0;0;37.0;37.3
