time,3458B_volt
1721673226.2321982,-1.120058043e-05
1721673234.2724473,-1.118591998e-05
1721673242.313064,-1.111261775e-05
1721673250.3534026,-1.121524087e-05
1721673258.3940415,-1.12885431e-05
1721673266.4343657,-1.108329686e-05
1721673274.4748647,-1.111261775e-05
1721673282.5153048,-1.108329686e-05
1721673290.5559583,-1.127388266e-05
1721673298.5964818,-1.114193865e-05
1721673306.6368208,-1.131786399e-05
1721673314.677543,-1.12885431e-05
1721673322.7181478,-1.114193865e-05
1721673330.7588148,-1.114193865e-05
1721673338.7993312,-1.117125954e-05
1721673346.8397038,-1.122990132e-05
1721673354.880228,-1.106863642e-05
1721673362.9207962,-1.122990132e-05
1721673370.9611988,-1.120058043e-05
1721673379.00159,-1.122990132e-05
1721673387.0422843,-1.124456176e-05
1721673395.0830133,-1.12885431e-05
1721673403.123559,-1.125922221e-05
1721673411.1640763,-1.11272782e-05
1721673419.2044725,-1.122990132e-05
1721673427.2449932,-1.117125954e-05
1721673435.2855105,-1.117125954e-05
1721673443.3258007,-1.121524087e-05
1721673451.366266,-1.122990132e-05
1721673459.4068298,-1.122990132e-05
1721673467.4472985,-1.124456176e-05
1721673475.4878354,-1.121524087e-05
1721673483.5284414,-1.121524087e-05
1721673491.5688274,-1.122990132e-05
1721673499.6095023,-1.127388266e-05
1721673507.649835,-1.130320355e-05
1721673515.6903207,-1.131786399e-05
1721673523.7310538,-1.117125954e-05
1721673531.7716658,-1.127388266e-05
1721673539.8123248,-1.127388266e-05
1721673547.8529835,-1.108329686e-05
1721673555.8933403,-1.120058043e-05
1721673563.9337327,-1.117125954e-05
1721673571.9741974,-1.115659909e-05
1721673580.014654,-1.124456176e-05
1721673588.0550494,-1.115659909e-05
1721673596.0953217,-1.106863642e-05
1721673604.1357322,-1.106863642e-05
1721673612.1762705,-1.114193865e-05
1721673620.2168303,-1.114193865e-05
1721673628.2573798,-1.109795731e-05
1721673636.2978234,-1.11272782e-05
1721673644.338349,-1.11272782e-05
1721673652.3787413,-1.122990132e-05
1721673660.4192128,-1.108329686e-05
1721673668.4598165,-1.108329686e-05
1721673676.5003095,-1.106863642e-05
1721673684.5407834,-1.131786399e-05
1721673692.581382,-1.108329686e-05
1721673700.6220021,-1.12885431e-05
1721673708.662505,-1.111261775e-05
1721673716.7029707,-1.11272782e-05
1721673724.7436333,-1.111261775e-05
1721673732.7841032,-1.121524087e-05
1721673740.8245795,-1.111261775e-05
1721673748.8652062,-1.121524087e-05
1721673756.9057155,-1.095135285e-05
1721673764.9461937,-1.11272782e-05
1721673772.986819,-1.125922221e-05
1721673781.027184,-1.120058043e-05
1721673789.0678718,-1.11272782e-05
1721673797.1083167,-1.127388266e-05
1721673805.148974,-1.099533419e-05
1721673813.189454,-1.118591998e-05
1721673821.2300928,-1.122990132e-05
1721673829.2710016,-1.114193865e-05
1721673837.311244,-1.120058043e-05
1721673845.351867,-1.122990132e-05
1721673853.3924887,-1.122990132e-05
1721673861.4327495,-1.09660133e-05
1721673869.4732888,-1.115659909e-05
1721673877.51395,-1.114193865e-05
1721673885.554629,-1.12885431e-05
1721673893.5951278,-1.115659909e-05
1721673901.6355789,-1.131786399e-05
1721673909.6763444,-1.114193865e-05
1721673917.7168803,-1.117125954e-05
1721673925.757424,-1.131786399e-05
1721673933.797996,-1.137650577e-05
1721673941.8385491,-1.136184533e-05
1721673949.8789866,-1.120058043e-05
1721673957.919505,-1.131786399e-05
1721673965.960313,-1.134718488e-05
1721673974.0011039,-1.127388266e-05
1721673982.041684,-1.131786399e-05
1721673990.082308,-1.122990132e-05
1721673998.1230257,-1.125922221e-05
1721674006.1638846,-1.149378934e-05
1721674014.204531,-1.136184533e-05
1721674022.2453024,-1.115659909e-05
1721674030.2857876,-1.121524087e-05
1721674038.3263998,-1.124456176e-05
1721674046.3666058,-1.120058043e-05
1721674054.40717,-1.143514756e-05
1721674062.4476347,-1.133252444e-05
1721674070.4882004,-1.127388266e-05
1721674078.5284314,-1.120058043e-05
1721674086.568992,-1.127388266e-05
1721674094.609416,-1.120058043e-05
1721674102.649872,-1.114193865e-05
1721674110.6903567,-1.11272782e-05
1721674118.7310665,-1.115659909e-05
1721674126.7717075,-1.122990132e-05
1721674134.8122582,-1.103931553e-05
1721674142.8524709,-1.118591998e-05
1721674150.892878,-1.118591998e-05
1721674158.9334712,-1.12885431e-05
1721674166.9738715,-1.122990132e-05
1721674175.0142229,-1.130320355e-05
1721674183.0544746,-1.118591998e-05
1721674191.0950768,-1.121524087e-05
