# INL run# soak = 10# samples_per_meter_per_step = 5# NPLC = 100dac_counts,Run 1,Run 2,Run 3,Run 4,Run 5
71680,-8.981603528,-8.98159983,-8.981599167,-8.981598313,-8.981597739
72704,-8.961284312,-8.961280953,-8.96127976,-8.961279083,-8.961278449
73728,-8.940963726,-8.940960073,-8.940959292,-8.940958232,-8.940958011
74752,-8.920644039,-8.920640474,-8.920639767,-8.920638987,-8.92063828
75776,-8.90032394,-8.900320007,-8.900319123,-8.900318784,-8.900318151
76800,-8.880005564,-8.880001248,-8.880000482,-8.880000496,-8.879999539
77824,-8.859687084,-8.859683475,-8.859682547,-8.859682253,-8.85968156
78848,-8.839366617,-8.839363288,-8.83936261,-8.839362256,-8.839361328
79872,-8.819047592,-8.819044617,-8.819044087,-8.819043159,-8.819042717
80896,-8.798728819,-8.798725622,-8.798724886,-8.79872412,-8.798723707
81920,-8.778412004,-8.778408866,-8.778408218,-8.778407496,-8.778406937
82944,-8.758092243,-8.758088664,-8.758088104,-8.758087839,-8.758086837
