vref,hpm1_counts,hpm2_counts
-8.5,890612451.9674,889359278.3711
-8.5,890612410.4953,889359239.2004
-8.5,890612418.8084,889359253.7807
-8.5,890612439.1072,889359289.1679
-8.5,890612391.3051,889359221.3674
-8.5,890612409.3749,889359273.1731
-8.5,890612474.1298,889359272.9103
-8.5,890612376.3998,889359274.1979
-8.5,890612412.3433,889359253.8221
-8.5,890612395.7471,889359231.5158
-8.5,890612393.1727,889359254.6671
-8.5,890612509.3493,889359304.5477
-8.5,890612442.247,889359264.3631
-8.0,964544064.9475,963363384.8365
-8.0,964544118.2514,963363434.9042
-8.0,964544098.7931,963363444.6523
-8.0,964544088.581,963363504.6472
-8.0,964544081.1859,963363497.0858
-8.0,964544066.5508,963363417.7297
-8.0,964544106.5856,963363456.6965
-8.0,964544121.2993,963363446.1329
-8.0,964544105.2729,963363466.0565
-8.0,964544048.9705,963363411.1112
-8.0,964544106.8103,963363471.5399
-8.0,964544108.9674,963363457.3382
-8.0,964544083.12,963363456.303
-8.0,964544019.4518,963363462.9716
-8.0,964544088.0379,963363518.111
-8.0,964544087.8117,963363424.5385
-8.0,964544050.4829,963363444.6177
-8.0,964544047.0668,963363413.8277
-8.0,964544075.6539,963363441.6243
-8.0,964544076.1578,963363447.5037
-8.0,964544145.9518,963363489.5955
-8.0,964544084.6427,963363430.8207
-8.0,964544081.2537,963363443.4358
-8.0,964544103.4757,963363465.2038
-8.0,964544108.2352,963363452.7404
-8.0,964544180.7759,963363512.2396
-8.0,964544126.2036,963363490.5082
-8.0,964544119.503,963363485.2166
-8.0,964544056.9221,963363464.8523
-8.0,964544078.357,963363445.845
-8.0,964544131.7109,963363427.6012
-8.0,964544071.9131,963363434.0971
-8.0,964544084.4991,963363411.4458
-8.0,964544074.1435,963363430.8748
-8.0,964544107.1723,963363383.6522
-8.0,964544101.4675,963363413.6481
-8.0,964544105.432,963363450.4638
-8.0,964544077.4632,963363421.4251
-8.0,964544067.9036,963363388.1932
-8.0,964544097.7887,963363403.0138
-8.0,964544070.7408,963363383.6412
-8.0,964544086.848,963363402.8063
-8.0,964544095.5611,963363404.9608
-8.0,964544048.332,963363410.5993
-8.0,964544045.618,963363392.0461
-8.0,964544096.7092,963363463.2052
