# INL run# soak = 5# samples_per_meter_per_step = 5# NPLC = 100dac_counts,3458A_volt,3458B_volt,ambient_temp
27648,-9.855327929,-9.855382191,21.287869144813158
27648,-9.855328253,-9.855382279,21.303334292309593
27648,-9.855327487,-9.855382279,21.303334292309593
27648,-9.855327841,-9.855382499,21.308489342057147
28672,-9.83500944,-9.835063487,21.298179242853074
28672,-9.835009572,-9.835064205,21.308489342057147
28672,-9.835009955,-9.835064396,21.32395449304604
28672,-9.835009661,-9.83506444,21.32910954395775
28672,-9.835010059,-9.835064454,21.32910954395775
29696,-9.814689875,-9.814744153,21.32395449304604
29696,-9.814689816,-9.81474449,21.334264595160494
29696,-9.814689934,-9.814744358,21.34972975051496
29696,-9.814690096,-9.814744402,21.334264595160494
29696,-9.814690332,-9.81474405,21.32395449304604
30720,-9.794370517,-9.794424921,21.31879944242537
30720,-9.794370797,-9.794424775,21.32395449304604
30720,-9.794370679,-9.794424877,21.31879944242537
30720,-9.794370856,-9.794425361,21.308489342057147
30720,-9.794370355,-9.794425009,21.308489342057147
31744,-9.774050466,-9.774105895,21.293024193687597
31744,-9.774050791,-9.774105616,21.277559047937395
31744,-9.774050584,-9.774105396,21.256938857678325
31744,-9.774050702,-9.774105294,21.262093904806534
31744,-9.774051203,-9.774105309,21.282714096229757
32768,-9.753732522,-9.753786766,21.298179242853074
32768,-9.753733141,-9.753786663,21.293024193687597
32768,-9.753732935,-9.75378703,21.308489342057147
32768,-9.75373264,-9.753787059,21.303334292309593
32768,-9.753732581,-9.753787323,21.31364439209574
33792,-9.733412737,-9.73346686,21.298179242853074
33792,-9.73341259,-9.73346686,21.308489342057147
33792,-9.733412251,-9.73346664,21.303334292309593
33792,-9.733412545,-9.733467021,21.293024193687597
33792,-9.733412369,-9.733466992,21.293024193687597
34816,-9.713091788,-9.713145679,21.293024193687597
34816,-9.713091611,-9.713146031,21.298179242853074
34816,-9.71309195,-9.713145884,21.303334292309593
34816,-9.713091714,-9.713145092,21.308489342057147
34816,-9.713091906,-9.713145239,21.293024193687597
35840,-9.692772665,-9.69282674,21.303334292309593
35840,-9.692772238,-9.692826506,21.308489342057147
35840,-9.692772532,-9.692826564,21.308489342057147
35840,-9.692772459,-9.692826418,21.287869144813158
35840,-9.692772076,-9.692826227,21.303334292309593
36864,-9.672454412,-9.672508227,21.32395449304604
36864,-9.672454691,-9.67250855,21.31364439209574
36864,-9.672454853,-9.672508506,21.308489342057147
36864,-9.672454574,-9.672508696,21.31879944242537
36864,-9.672454853,-9.672508403,21.308489342057147
37888,-9.652134317,-9.652188702,21.31879944242537
37888,-9.65213467,-9.652188746,21.308489342057147
37888,-9.652135274,-9.652188702,21.32395449304604
37888,-9.652134862,-9.652188761,21.31364439209574
37888,-9.652134508,-9.652188659,21.303334292309593
38912,-9.63181543,-9.631868972,21.298179242853074
38912,-9.6318154,-9.631869031,21.282714096229757
38912,-9.631815238,-9.63186909,21.293024193687597
38912,-9.631815327,-9.631868679,21.287869144813158
38912,-9.63181515,-9.631868415,21.287869144813158
39936,-9.611495777,-9.611549316,21.308489342057147
39936,-9.611495924,-9.611549316,21.308489342057147
39936,-9.611495909,-9.611549199,21.308489342057147
39936,-9.611495954,-9.611549052,21.32395449304604
39936,-9.611495939,-9.611549433,21.303334292309593
40960,-9.59117524,-9.591228867,21.308489342057147
40960,-9.591175903,-9.591228911,21.298179242853074
40960,-9.591175594,-9.59122856,21.308489342057147
40960,-9.591175697,-9.591228838,21.303334292309593
40960,-9.591175815,-9.59122853,21.303334292309593
41984,-9.570855985,-9.570909357,21.293024193687597
41984,-9.570856221,-9.570909196,21.287869144813158
41984,-9.570855867,-9.570909724,21.287869144813158
41984,-9.570856059,-9.570909196,21.293024193687597
41984,-9.57085572,-9.570909445,21.293024193687597
43008,-9.550536155,-9.550589349,21.31364439209574
43008,-9.550536096,-9.550589451,21.32395449304604
43008,-9.550536185,-9.550589627,21.339419646654278
43008,-9.550536465,-9.550589642,21.31879944242537
43008,-9.550536406,-9.550589657,21.31364439209574
44032,-9.530218285,-9.530270968,21.293024193687597
44032,-9.530218093,-9.530271041,21.282714096229757
44032,-9.530218034,-9.530271657,21.282714096229757
44032,-9.530218358,-9.530271393,21.282714096229757
44032,-9.530218579,-9.530271598,21.262093904806534
45056,-9.509900635,-9.509952557,21.262093904806534
45056,-9.509899958,-9.509952513,21.282714096229757
45056,-9.509900149,-9.50995222,21.26724895222578
45056,-9.50989984,-9.509952073,21.277559047937395
45056,-9.509899162,-9.509952147,21.26724895222578
46080,-9.489579789,-9.48963249,21.262093904806534
46080,-9.489579362,-9.489632505,21.277559047937395
46080,-9.489579789,-9.489632622,21.287869144813158
46080,-9.489580172,-9.48963271,21.31364439209574
46080,-9.489579774,-9.489631962,21.31879944242537
47104,-9.469260563,-9.469313654,21.339419646654278
47104,-9.469260843,-9.469313757,21.34972975051496
47104,-9.469260563,-9.469313449,21.37550501525984
47104,-9.469260048,-9.469313214,21.39097017759923
47104,-9.469259989,-9.469313258,21.406435342557963
48128,-9.448941087,-9.448994291,21.44252073764801
48128,-9.448941102,-9.448994276,21.457985911337893
48128,-9.448941942,-9.448994173,21.48891626657569
48128,-9.448941014,-9.448994276,21.504381448123603
48128,-9.448941426,-9.448993734,21.525001694262027
49152,-9.428622407,-9.428675587,21.55077700848342
49152,-9.428622009,-9.428675631,21.571397265099222
49152,-9.428622215,-9.428675396,21.597172592417337
49152,-9.428622436,-9.428675396,21.60748272538185
49152,-9.428622569,-9.42867569,21.61779285951052
50176,-9.408302651,-9.408355183,21.633258062886306
50176,-9.408302297,-9.408354977,21.643568199925358
50176,-9.408302385,-9.408355168,21.643568199925358
50176,-9.408302032,-9.408354875,21.65387833812856
50176,-9.408302548,-9.408355241,21.65903340766672
51200,-9.387981363,-9.388034075,21.674498618027428
51200,-9.387981289,-9.388034177,21.69511890258291
51200,-9.387981746,-9.388034119,21.71058411905542
51200,-9.387981849,-9.388034426,21.726049338147277
51200,-9.387981996,-9.388033928,21.736359485663705
52224,-9.367663006,-9.367715253,21.74151455985848
52224,-9.367663301,-9.367715239,21.751824709121138
52224,-9.367663183,-9.367715591,21.76213485954795
52224,-9.367662888,-9.367715576,21.772445011138917
52224,-9.367662461,-9.367715385,21.777600087370956
53248,-9.347344708,-9.347397415,21.782755163894034
53248,-9.347345003,-9.347397591,21.79306531781331
53248,-9.347345224,-9.347397488,21.803375472896732
53248,-9.347345504,-9.347397444,21.808530550875002
53248,-9.347345327,-9.347397811,21.808530550875002
54272,-9.32702535,-9.327077245,21.823995786556043
54272,-9.327025527,-9.327077553,21.834305945131927
54272,-9.327025807,-9.327077054,21.839461024856426
54272,-9.327025762,-9.327076981,21.834305945131927
54272,-9.327025762,-9.327077142,21.829150865698466
55296,-9.306706124,-9.306757427,21.870391509315233
55296,-9.306706242,-9.306757764,21.8652364278445
55296,-9.306706596,-9.306757779,21.86008134666481
55296,-9.306706404,-9.306757662,21.86008134666481
55296,-9.30670583,-9.306757705,21.86008134666481
56320,-9.286386913,-9.286438371,21.849771185178543
56320,-9.286387193,-9.286438122,21.8652364278445
56320,-9.286387016,-9.286438137,21.854926265776157
56320,-9.286386987,-9.286438166,21.86008134666481
56320,-9.286387002,-9.286438166,21.86008134666481
57344,-9.266069323,-9.266120342,21.854926265776157
57344,-9.266069603,-9.266120401,21.849771185178543
57344,-9.266069647,-9.266120401,21.834305945131927
57344,-9.266069337,-9.266120107,21.849771185178543
57344,-9.26606922,-9.266119506,21.849771185178543
58368,-9.245749788,-9.245799967,21.844616104871967
58368,-9.245750126,-9.245800539,21.844616104871967
58368,-9.245749905,-9.245800289,21.849771185178543
58368,-9.245749581,-9.245800348,21.834305945131927
58368,-9.245749508,-9.245800377,21.86008134666481
59392,-9.225430061,-9.225480149,21.870391509315233
59392,-9.225430194,-9.225479958,21.8652364278445
59392,-9.225430017,-9.225479768,21.870391509315233
59392,-9.225430091,-9.225479914,21.870391509315233
59392,-9.225429089,-9.225480105,21.86008134666481
60416,-9.205110614,-9.20516124,21.86008134666481
60416,-9.205110776,-9.205161372,21.86008134666481
60416,-9.205110541,-9.20516102,21.8652364278445
60416,-9.2051106,-9.205161211,21.854926265776157
60416,-9.205110335,-9.205161064,21.854926265776157
61440,-9.184792125,-9.184842829,21.86008134666481
61440,-9.184792493,-9.184842947,21.8652364278445
61440,-9.184792611,-9.184842639,21.8652364278445
61440,-9.184792346,-9.184842228,21.854926265776157
61440,-9.184792464,-9.184842917,21.86008134666481
62464,-9.164472237,-9.164522234,21.854926265776157
62464,-9.164472237,-9.164522352,21.86008134666481
62464,-9.164472192,-9.164522352,21.849771185178543
62464,-9.164472133,-9.164522044,21.854926265776157
62464,-9.164472001,-9.164521941,21.849771185178543
63488,-9.144152775,-9.144203018,21.8652364278445
63488,-9.144152584,-9.144203237,21.875546591077
63488,-9.144152864,-9.144203237,21.870391509315233
63488,-9.144152967,-9.144203531,21.86008134666481
63488,-9.144153423,-9.14420334,21.86008134666481
64512,-9.123833579,-9.123883639,21.854926265776157
64512,-9.1238338,-9.123883845,21.854926265776157
64512,-9.123833815,-9.123884065,21.849771185178543
64512,-9.123833991,-9.123884241,21.86008134666481
64512,-9.123834124,-9.123883786,21.854926265776157
65536,-9.103515797,-9.103565918,21.875546591077
65536,-9.103515812,-9.103565493,21.880701673129806
65536,-9.103515797,-9.103566006,21.875546591077
65536,-9.103515753,-9.103565933,21.875546591077
65536,-9.103515885,-9.103565786,21.88585675547365
66560,-9.083195245,-9.083245689,21.88585675547365
66560,-9.08319498,-9.083244898,21.875546591077
66560,-9.083195334,-9.083245543,21.880701673129806
66560,-9.083194936,-9.083245191,21.875546591077
66560,-9.083195157,-9.083245264,21.8652364278445
67584,-9.062873442,-9.062923365,21.870391509315233
67584,-9.062873486,-9.062923379,21.8652364278445
67584,-9.062873339,-9.062923614,21.8652364278445
67584,-9.062872764,-9.062923306,21.8652364278445
67584,-9.062873103,-9.06292335,21.854926265776157
68608,-9.042554849,-9.042604676,21.8652364278445
68608,-9.042555041,-9.042604294,21.854926265776157
68608,-9.042554997,-9.042604646,21.86008134666481
68608,-9.042554496,-9.042604676,21.86008134666481
68608,-9.042554849,-9.042604778,21.854926265776157
69632,-9.022236581,-9.022286998,21.854926265776157
69632,-9.022236935,-9.022286719,21.870391509315233
69632,-9.022237436,-9.022287071,21.880701673129806
69632,-9.022236729,-9.022287159,21.870391509315233
69632,-9.022237112,-9.022286851,21.870391509315233
70656,-9.001917046,-9.001966696,21.875546591077
70656,-9.001917562,-9.001966212,21.86008134666481
70656,-9.001917046,-9.00196655,21.8652364278445
70656,-9.001916678,-9.001966623,21.8652364278445
70656,-9.001916811,-9.001966784,21.870391509315233
71680,-8.981597349,-8.981646834,21.870391509315233
71680,-8.98159785,-8.981646908,21.875546591077
71680,-8.981597349,-8.981646878,21.880701673129806
71680,-8.981597054,-8.981646908,21.875546591077
71680,-8.981597879,-8.981646893,21.875546591077
72704,-8.961278521,-8.961327823,21.880701673129806
72704,-8.961278182,-8.961327984,21.88585675547365
72704,-8.961278182,-8.961327632,21.875546591077
72704,-8.961278403,-8.961327617,21.875546591077
72704,-8.961277829,-8.961326503,21.870391509315233
73728,-8.940956776,-8.941005263,21.880701673129806
73728,-8.940956644,-8.941005351,21.88585675547365
73728,-8.940956467,-8.941005381,21.875546591077
73728,-8.940956718,-8.941005424,21.8652364278445
73728,-8.940956688,-8.941005395,21.875546591077
74752,-8.920636917,-8.920686222,21.875546591077
74752,-8.920636814,-8.92068631,21.8652364278445
74752,-8.920636888,-8.920686398,21.86008134666481
74752,-8.920636888,-8.920685944,21.854926265776157
74752,-8.920636844,-8.920686369,21.839461024856426
75776,-8.900316086,-8.9003651,21.849771185178543
75776,-8.900316366,-8.900365158,21.8652364278445
75776,-8.90031669,-8.900365334,21.854926265776157
75776,-8.900316543,-8.900365188,21.86008134666481
75776,-8.900315953,-8.900365261,21.854926265776157
76800,-8.879997464,-8.880047319,21.854926265776157
76800,-8.879997685,-8.880047187,21.839461024856426
76800,-8.879997715,-8.880046953,21.849771185178543
76800,-8.8799977,-8.880047187,21.839461024856426
76800,-8.879998216,-8.880047246,21.834305945131927
77824,-8.859679608,-8.85972885,21.854926265776157
77824,-8.859679608,-8.859728484,21.839461024856426
77824,-8.859680021,-8.859729891,21.849771185178543
77824,-8.859680581,-8.85973039,21.834305945131927
77824,-8.859680522,-8.85973036,21.834305945131927
78848,-8.839360221,-8.83941,21.829150865698466
78848,-8.839360928,-8.839409985,21.839461024856426
78848,-8.839360442,-8.839410044,21.829150865698466
78848,-8.839360118,-8.839410058,21.839461024856426
78848,-8.839360353,-8.839409853,21.829150865698466
79872,-8.819041717,-8.819091765,21.834305945131927
79872,-8.819041923,-8.819091516,21.834305945131927
79872,-8.819041908,-8.819091736,21.823995786556043
79872,-8.819042218,-8.819091237,21.823995786556043
79872,-8.81904207,-8.819091604,21.829150865698466
80896,-8.798722948,-8.798772871,21.81884070770466
80896,-8.798723596,-8.798772578,21.823995786556043
80896,-8.79872339,-8.79877246,21.808530550875002
80896,-8.798723478,-8.798772446,21.81884070770466
80896,-8.79872283,-8.798771859,21.81368562914431
81920,-8.778406521,-8.778455487,21.81884070770466
81920,-8.778406462,-8.778455531,21.7982203952095
81920,-8.778406094,-8.778455135,21.81368562914431
81920,-8.778405666,-8.778455296,21.808530550875002
81920,-8.77840627,-8.778455648,21.81368562914431
82944,-8.7580865,-8.758135302,21.808530550875002
82944,-8.758086706,-8.758135449,21.808530550875002
82944,-8.758086986,-8.758136226,21.808530550875002
82944,-8.758087133,-8.75813605,21.808530550875002
82944,-8.758086779,-8.75813561,21.808530550875002
83968,-8.737765064,-8.737814267,21.823995786556043
83968,-8.737765521,-8.737814531,21.823995786556043
83968,-8.737765462,-8.737814179,21.81368562914431
83968,-8.737765374,-8.73781437,21.803375472896732
83968,-8.737765668,-8.737814649,21.81368562914431
84992,-8.717446722,-8.717495564,21.81368562914431
84992,-8.71744684,-8.717495578,21.81884070770466
84992,-8.717446634,-8.717495871,21.808530550875002
84992,-8.717446693,-8.717495754,21.81368562914431
84992,-8.717446767,-8.717495358,21.81884070770466
86016,-8.697129883,-8.697178516,21.81368562914431
