vref,hpm1_counts
-1.4000000000000306,-1.4000001335792842
-1.300000000000031,-1.3000001291429994
-1.2000000000000313,-1.200000135111841
-1.1000000000000316,-1.1000001067560583
-1.000000000000032,-1.000000080640765
-0.9000000000000323,-0.9000000571520141
-0.8000000000000327,-0.8000000591868861
-0.700000000000033,-0.7000000325513892
-0.6000000000000334,-0.5999999950340836
-0.5000000000000338,-0.4999999534869081
-0.4000000000000341,-0.3999999502784959
-0.30000000000003446,-0.29999995179253375
-0.20000000000003482,-0.19999996479753143
-0.10000000000003517,-0.09999999629327966
-3.552713678800501e-14,-5.33713624058574e-09
0.09999999999996412,0.09999998643051188
0.19999999999996376,0.19999999271869287
0.2999999999999634,0.299999999769498
0.39999999999996305,0.40000000369394556
0.4999999999999627,0.4999999986147188
0.5999999999999623,0.6000000022553513
0.699999999999962,0.7000000026848134
0.7999999999999616,0.7999999936531453
0.8999999999999613,0.9000000009394389
0.9999999999999609,1.000000003893166
1.0999999999999606,1.0999999900579642
1.1999999999999602,1.1999999970891249
1.2999999999999599,1.2999999972153593
1.3999999999999595,1.399999988974721
1.4999999999999591,1.4999999752878868
1.5999999999999588,1.5999999756790617
1.6999999999999584,1.6999999740897775
1.799999999999958,1.7999999765991732
1.8999999999999577,1.8999999942439758
1.9999999999999574,1.9999999731894589
2.099999999999957,2.09999997439268
2.1999999999999567,2.199999972226994
2.2999999999999563,2.3000001064795494
2.399999999999956,2.4000000310436973
2.4999999999999556,2.4999999740599983
2.5999999999999552,2.599999976963982
2.699999999999955,2.700000018991078
2.7999999999999545,2.799999974630972
2.899999999999954,2.8999999733225548
2.999999999999954,2.9999999780983475
3.0999999999999535,3.1000000015061704
3.199999999999953,3.1999999729963973
3.2999999999999527,3.2999999927295924
3.3999999999999524,3.40000000741442
3.499999999999952,3.500000000660233
3.5999999999999517,3.600000007699916
3.6999999999999513,3.700000000208266
3.799999999999951,3.799999994783462
3.8999999999999506,3.899999984536256
3.9999999999999503,3.9999999984308685
4.09999999999995,4.099999985757152
4.1999999999999496,4.199999981769465
4.299999999999949,4.299999984031514
4.399999999999949,4.399999982793453
4.4999999999999485,4.49999999052255
4.599999999999948,4.599999985888519
4.699999999999948,4.7000000079706865
4.799999999999947,4.7999999914412435
4.899999999999947,4.899999985911165
4.999999999999947,5.000000023455957
5.099999999999946,5.100000007279675
5.199999999999946,5.2000000208983135
5.299999999999946,5.3000000206645765
5.399999999999945,5.400000002608831
5.499999999999945,5.500000007372687
