time,W4950_volt
1693571507.2145863,-0.0
1693571525.5345771,-0.0
1693571543.8547633,-0.0
1693571562.1749978,0.0
1693571580.495177,-0.0
1693571598.8161886,0.0
1693571617.1370645,-0.0
1693571635.4583611,-1e-06
1693571653.7789638,-0.0
1693571672.0999844,-0.0
1693571690.4214084,-0.0
1693571708.7422001,-0.0
1693571727.064002,-0.0
1693571745.3843184,-1e-06
1693571763.7053716,-1e-06
1693571782.025367,-1e-06
1693571800.3453202,-0.0
1693571818.665575,-0.0
1693571836.9858735,-0.0
1693571855.3062928,-0.0
1693571873.6267407,-0.0
1693571891.9474592,-0.0
1693571910.2674248,-0.0
1693571928.587575,-0.0
1693571946.9076936,-1e-06
1693571965.2275834,-0.0
1693571983.5472085,-0.0
1693572001.867944,0.0
1693572020.1889987,-0.0
1693572038.5098815,-0.0
1693572056.829952,-0.0
1693572075.150931,-1e-06
1693572093.4706855,-0.0
1693572111.790875,-0.0
1693572130.1111443,-0.0
1693572148.4320557,-1e-06
1693572166.7535498,-0.0
1693572185.0741272,-1e-06
1693572203.3943162,-0.0
1693572221.714321,-0.0
1693572240.0340931,-0.0
1693572258.3548324,-1e-06
1693572276.675076,-0.0
1693572294.9953682,0.0
1693572313.315322,-0.0
1693572331.6362064,0.0
1693572349.9568574,-0.0
1693572368.277732,0.0
1693572386.5986662,-0.0
1693572404.9196634,-0.0
1693572423.2398052,0.0
1693572441.5607035,-0.0
1693572459.8807662,-0.0
1693572478.2011673,-0.0
1693572496.5222592,-0.0
1693572514.843237,-0.0
1693572533.1639192,-0.0
1693572551.4840143,-0.0
1693572569.804912,-0.0
1693572588.1260066,-0.0
1693572606.446096,-1e-06
1693572624.7674391,-0.0
1693572643.088196,-0.0
1693572661.4087093,-1e-06
1693572679.729398,-0.0
1693572698.0499837,-0.0
1693572716.3707213,-0.0
1693572734.6904922,-0.0
1693572753.010625,-1e-06
1693572771.330574,-0.0
1693572789.6507425,-0.0
1693572807.9717863,-0.0
1693572826.292494,-0.0
1693572844.6128232,-0.0
1693572862.9338524,-0.0
1693572881.2545228,-0.0
1693572899.5743556,-0.0
1693572917.8943274,0.0
1693572936.214651,-0.0
1693572954.540379,0.0
1693572972.8605711,-1e-06
1693572991.180709,-0.0
1693573009.501697,-0.0
1693573027.8228366,-0.0
1693573046.1435032,-1e-06
1693573064.4648147,-0.0
1693573082.7859302,-1e-06
1693573101.1066267,-0.0
1693573119.4273543,-0.0
1693573137.7475407,-0.0
1693573156.0680447,-0.0
1693573174.3889973,-0.0
1693573192.7096596,-0.0
1693573211.030359,-0.0
1693573229.3500316,-0.0
1693573247.6704059,-1e-06
1693573265.9902618,-0.0
1693573284.3102388,-1e-06
1693573302.6306283,-0.0
1693573320.951794,-0.0
1693573339.2726614,-0.0
1693573357.593685,-0.0
1693573375.914253,-0.0
1693573394.235056,0.0
1693573412.5557654,-0.0
1693573430.876644,-0.0
1693573449.1966507,-0.0
1693573467.5177236,-0.0
1693573485.838877,-0.0
1693573504.1596322,0.0
1693573522.4845064,0.0
1693573540.804513,-0.0
1693573559.1243503,-0.0
1693573577.444906,0.0
1693573595.7659252,-0.0
1693573614.0870059,-0.0
1693573632.4079223,-0.0
1693573650.7284882,-0.0
1693573669.0488615,-0.0
1693573687.369781,-0.0
1693573705.6901486,-0.0
1693573724.0110018,-0.0
1693573742.3316402,0.0
1693573760.652062,-1e-06
1693573778.9735665,-0.0
1693573797.293487,-0.0
1693573815.614079,-1e-06
1693573833.934854,-1e-06
1693573852.255221,-1e-06
1693573870.5755932,-1e-06
1693573888.896187,-1e-06
1693573907.2168937,-1e-06
1693573925.5371299,-0.0
1693573943.8577728,-0.0
1693573962.1792557,-0.0
1693573980.5002458,-0.0
1693573998.8212643,-0.0
1693574017.1424177,-0.0
1693574035.4627583,-0.0
1693574053.7830198,-1e-06
1693574072.1029494,-0.0
1693574090.423264,-0.0
1693574108.7433398,-0.0
1693574127.063227,-0.0
1693574145.383663,-0.0
1693574163.7044935,-0.0
1693574182.0256193,-1e-06
1693574200.346271,-1e-06
1693574218.6659126,-0.0
1693574236.9866285,-1e-06
1693574255.3073714,-0.0
1693574273.627481,-1e-06
1693574291.9489565,-0.0
1693574310.269803,-0.0
1693574328.5915768,-0.0
1693574346.9125414,-1e-06
1693574365.2325284,-1e-06
1693574383.5526166,-0.0
1693574401.8727412,-0.0
1693574420.1934528,0.0
1693574438.5140386,-0.0
1693574456.8349314,0.0
1693574475.155807,-0.0
1693574493.4767256,-1e-06
1693574511.7962816,-0.0
1693574530.1169162,-0.0
1693574548.442528,0.0
1693574566.7631705,-0.0
1693574585.084001,-0.0
1693574603.4052808,0.0
1693574621.726213,0.0
1693574640.0472093,-0.0
1693574658.3682704,-0.0
1693574676.6888115,0.0
1693574695.014239,0.0
1693574713.3353927,0.0
1693574731.6567116,-0.0
1693574749.9776177,-0.0
1693574768.3038833,0.0
1693574786.6248832,-0.0
1693574804.9463682,-0.0
1693574823.2671375,-0.0
1693574841.5882463,-0.0
1693574859.9096699,-0.0
1693574878.2304242,0.0
1693574896.5560236,0.0
1693574914.8767726,-0.0
1693574933.1972365,-0.0
1693574951.5175176,-0.0
1693574969.8376734,-1e-06
1693574988.1579955,-1e-06
1693575006.4781022,-1e-06
1693575024.7980592,-0.0
1693575043.1180792,-1e-06
1693575061.4383724,-0.0
1693575079.7581677,-0.0
1693575098.0786428,-0.0
1693575116.3988094,-0.0
1693575134.720036,-0.0
1693575153.04033,-0.0
1693575171.3607895,-1e-06
1693575189.6810029,-0.0
1693575208.001318,-1e-06
1693575226.3225825,-0.0
1693575244.6436028,-0.0
1693575262.964638,-1e-06
1693575281.2853653,-1e-06
1693575299.6054184,-0.0
1693575317.9258041,-1e-06
1693575336.2466304,-0.0
1693575354.5666623,-1e-06
1693575372.8869114,-0.0
1693575391.2075124,-0.0
